From,To
213120_at,23074
220703_at,55853
219101_x_at,79575
201539_s_at,2273
207260_at,54738
221900_at,1296
212076_at,4297
213388_at,100996724
211890_x_at,825
222190_s_at,64755
220739_s_at,26505
207087_x_at,286
205088_at,10046
214291_at,100124516
220537_at,142689
213696_s_at,112950
215226_at,23086
203659_s_at,10206
215827_x_at,114819
205751_at,6456
211977_at,57720
35666_at,6405
212210_at,26173
200712_s_at,22919
208442_s_at,472
215126_at,100996492
200834_s_at,6227
214727_at,675
213774_s_at,5504
216600_x_at,229
209877_at,6623
214836_x_at,3514
215430_at,2712
219729_at,51450
219806_s_at,56935
201027_s_at,9669
217590_s_at,8989
201256_at,9167
218215_s_at,7376
207768_at,1961
211303_x_at,219595
215559_at,368
211792_s_at,1031
217895_at,55037
217780_at,51398
208698_s_at,4841
221510_s_at,2744
218196_at,28962
220258_s_at,55135
207540_s_at,6850
201830_s_at,10276
212795_at,23325
221667_s_at,26353
216356_x_at,8938
219056_at,79621
206565_x_at,11039
202434_s_at,1545
207771_at,6524
216639_at,27286
207979_s_at,926
202298_at,4694
205606_at,4040
222087_at,100302185
216676_x_at,115653
209270_at,3914
211225_at,2527
32541_at,5533
204011_at,10253
201192_s_at,5306
213834_at,440073
210843_s_at,9848
200955_at,10989
216640_s_at,10130
210913_at,28316
212369_at,171017
90265_at,11033
204955_at,8406
218567_x_at,10072
208931_s_at,3609
204370_at,10978
200989_at,3091
215238_s_at,23348
214672_at,23093
221782_at,54431
212391_x_at,6189
216502_at,81875
206349_at,9211
217841_s_at,51400
201382_at,27101
220043_s_at,4241
203541_s_at,687
214881_s_at,7343
208716_s_at,54499
211500_at,5600
216308_x_at,9380
216661_x_at,1559
214650_x_at,4340
215227_x_at,52
213304_at,23116
215193_x_at,3119
220836_at,55628
207583_at,225
208021_s_at,5981
213215_at,100526783
217646_at,6834
220776_at,3770
213978_at,92154
215909_x_at,50488
213201_s_at,7138
41512_at,8315
202796_at,11346
210282_at,7750
208850_s_at,7070
216860_s_at,10220
221853_s_at,23420
200615_s_at,163
210190_at,8676
205144_at,84179
211938_at,1975
51192_at,54961
217415_at,5430
212602_at,23001
207640_x_at,4917
206241_at,3841
218403_at,51499
201797_s_at,7407
218836_at,202658
201910_at,10160
201829_at,10276
207884_at,3000
210709_at,55854
204658_at,29896
205680_at,4319
216579_at,127534
206455_s_at,6010
203264_s_at,23229
211425_x_at,548313
217073_x_at,335
210039_s_at,5588
221104_s_at,55335
209797_at,10330
217478_s_at,3108
214732_at,6667
207350_s_at,8674
208545_x_at,6874
214574_x_at,7940
202572_s_at,22839
203586_s_at,379
205276_s_at,9567
214856_at,6711
208736_at,10094
219127_at,79170
203401_at,5634
214480_at,2117
209637_s_at,6002
218865_at,64757
208864_s_at,7295
201846_s_at,23429
221025_x_at,83448
218669_at,57826
218363_at,55218
202174_s_at,5108
208027_s_at,7093
209608_s_at,39
213667_at,100862671
217592_at,90204
212294_at,55970
201887_at,3597
203306_s_at,10559
209376_x_at,9169
200608_s_at,5885
214954_at,26032
206679_at,320
210832_x_at,5733
208794_s_at,6597
204898_at,8819
219772_s_at,23676
213831_at,3117
209097_s_at,182
202622_s_at,6311
219732_at,54886
205270_s_at,3937
218864_at,7145
210124_x_at,10505
215709_at,100996481
202398_at,100526783
209601_at,51
204882_at,9938
202610_s_at,9282
221047_s_at,4139
201509_at,3420
35436_at,2801
213780_at,7062
215598_at,54970
214215_s_at,23185
220216_at,56260
216219_at,363
214515_at,8387
202287_s_at,4070
215184_at,23604
219378_at,79612
217160_at,7258
203253_s_at,23262
200978_at,4190
203089_s_at,27429
213905_x_at,633
219160_s_at,64895
217670_at,6181
202760_s_at,11217
213535_s_at,7329
212979_s_at,9747
222077_s_at,29127
212969_x_at,256364
220215_at,79862
207724_s_at,6683
211219_s_at,9355
216888_at,11155
202890_at,9053
202984_s_at,9529
213988_s_at,6303
218061_at,4201
214925_s_at,6709
216803_at,10611
200700_s_at,11014
204613_at,5336
38037_at,1839
208699_x_at,7086
221925_s_at,79848
211630_s_at,2937
210896_s_at,444
213571_s_at,9470
208990_s_at,3189
203978_at,4682
206124_s_at,3996
209866_s_at,23284
204041_at,4129
220264_s_at,57720
207746_at,10721
212676_at,101930150
209221_s_at,9885
220437_at,55908
202604_x_at,102
220068_at,29802
205869_at,5644
204599_s_at,10573
205304_s_at,3764
201705_at,5713
209367_at,6813
210653_s_at,594
217931_at,10695
204830_x_at,5673
205501_at,10846
201531_at,7538
200774_at,23196
207220_at,420
217067_s_at,1758
210191_s_at,10745
204627_s_at,3690
219524_s_at,79133
201880_at,25820
213014_at,9479
208079_s_at,6790
219468_s_at,404093
203708_at,5142
205406_s_at,53340
220044_x_at,51747
215396_at,84059
207088_s_at,8402
219710_at,79628
205347_s_at,11013
206527_at,18
215381_at,2475
217763_s_at,11031
221230_s_at,51742
203651_at,9765
213959_s_at,23322
209044_x_at,10262
206761_at,10225
200741_s_at,6232
200729_s_at,10097
211778_s_at,58495
220942_x_at,26355
219735_s_at,29842
205448_s_at,7786
210889_s_at,2213
203581_at,10638
210328_at,27232
204711_at,9851
205325_at,9796
222082_at,51341
208675_s_at,1650
210659_at,1240
208059_at,1237
207694_at,5456
209304_x_at,4616
210364_at,6327
204629_at,29780
200847_s_at,51669
215115_x_at,4916
212347_x_at,100616358
218254_s_at,51128
219220_x_at,56945
